"priority","issue","true_species","confused_with","true_class","confused_risk","needed_role","min_images","region_focus","source_preference","reason"
"1","species_false_non_venomous","Agkistrodon piscivorus","Lampropeltis triangulum","Venomous","Non Venomous","positive_venomous","40","United States of America","open_license_iNaturalist_or_Wikimedia","Venomous species repeatedly predicted as Lampropeltis triangulum in external test."
"1","species_false_non_venomous","Austrelaps superbus","Carphophis vermis","Venomous","Non Venomous","positive_venomous","40","Australia","open_license_iNaturalist_or_Wikimedia","Venomous Australian species predicted as non venomous when wrong geography is introduced."
"1","species_false_non_venomous","Austrelaps superbus","Ninia sebae","Venomous","Non Venomous","positive_venomous","40","Australia","open_license_iNaturalist_or_Wikimedia","Venomous Australian species predicted as non venomous in image-only flow."
"1","species_false_non_venomous","Boiga kraepelini","Naja atra","Non Venomous","Venomous","hard_negative_non_venomous","30","China","open_license_iNaturalist_or_Wikimedia","Regional non venomous visual negative for the Naja atra confusion group."
"1","species_false_non_venomous","Carphophis vermis","Austrelaps superbus","Non Venomous","Venomous","hard_negative_non_venomous","30","United States of America","open_license_iNaturalist_or_Wikimedia","Non venomous visual negative for the Austrelaps confusion group."
"1","species_false_non_venomous","Lampropeltis triangulum","Agkistrodon piscivorus","Non Venomous","Venomous","hard_negative_non_venomous","40","United States of America","open_license_iNaturalist_or_Wikimedia","False coral/milk snake group is visually confused with venomous pit vipers and must stay non venomous."
"1","species_false_non_venomous","Naja atra","Boiga kraepelini","Venomous","Non Venomous","positive_venomous","40","China","open_license_iNaturalist_or_Wikimedia","Venomous cobra case fails when country is used and must be reinforced before changing region logic."
"1","species_false_non_venomous","Ninia sebae","Austrelaps superbus","Non Venomous","Venomous","hard_negative_non_venomous","30","global","open_license_iNaturalist_or_Wikimedia","Non venomous visual negative for the Austrelaps confusion group."
"2","out_of_coverage_species_fp_binary_fp","Coluber constrictor","Austrelaps superbus","Non Venomous","Venomous","hard_negative_non_venomous","50","North America","open_license_iNaturalist_or_Wikimedia","User-reported black racer case is outside the current species pilot and is forced into a venomous species; add as non venomous coverage and hard negative for dark-bodied snakes."
"3","out_of_coverage_species_exact_error_risk_ok","Eunectes murinus","Morelia spilota","Non Venomous","Non Venomous","coverage_non_venomous_species","50","South America","open_license_iNaturalist_or_Wikimedia","User-reported green anaconda case is classified as non venomous correctly, but exact species is unavailable in current pilot; add for species coverage and large constrictor accuracy."
"2","out_of_coverage_venomous_species_risk_ok","Oxyuranus microlepidotus","Austrelaps superbus | Pseudechis australis","Venomous","Venomous","coverage_venomous_species","60","Australia","open_license_iNaturalist_or_Wikimedia","User external cases Imagen1 and Imagen3 are venomous inland taipan. Risk is correct, but exact species is unavailable in the active pilots."
"2","out_of_coverage_venomous_species_risk_ok","Bungarus fasciatus","Laticauda colubrina","Venomous","Venomous","coverage_venomous_species","50","India | Asia","open_license_iNaturalist_or_Wikimedia","User external case Imagen4 is banded krait. Risk is correct, but exact species is unavailable in the active pilots."
"2","out_of_coverage_venomous_species_risk_ok","Naja naja","Ophiophagus hannah","Venomous","Venomous","coverage_venomous_species","50","India","DATA_2_plus_open_license_iNaturalist_or_Wikimedia","User external case Imagen5 is Indian cobra. Species has trainable DATA_2 images but is not in the current active pilot."
"3","out_of_coverage_species_exact_error_risk_ok","Morelia viridis","Corallus caninus","Non Venomous","Non Venomous","coverage_non_venomous_species","50","Papua New Guinea | Oceania","DATA_2_plus_open_license_iNaturalist_or_Wikimedia","User external case Imagen2 is green tree python. Risk is correct, but exact species is unavailable in the active pilots."
"3","non_venomous_no_conclusive","Pituophis catenifer","Heterodon simus","Non Venomous","Non Venomous","hard_negative_non_venomous","50","United States of America | North America","DATA_2_plus_open_license_iNaturalist_or_Wikimedia","User external case n is bullsnake. Species has trainable DATA_2 images but app result can become no concluyente due binary preventive alert."
"3","out_of_coverage_species_exact_error_risk_ok","Elaphe quatuorlineata","Contia tenuis","Non Venomous","Non Venomous","coverage_non_venomous_species","50","Croatia | Europe","open_license_iNaturalist_or_Wikimedia","User external case n3 is four-lined snake. Risk is correct/non-conclusive, but exact species is unavailable in the active pilots."
