split,class_folder,image_path,source_path,scientific_name,common_name,venom_status,country,continent,source,doi,license
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait0.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait0.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait1.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait1.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait10.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait10.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait11.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait11.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait12.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait12.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait13.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait13.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait14.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait14.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait15.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait15.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait16.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait16.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait17.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait17.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait18.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait18.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait19.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait19.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait2.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait2.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait20.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait20.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait21.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait21.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait22.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait22.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait23.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait23.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
train,001_Bungarus_caeruleus,data\active\Bangladeshi Venomous Snakes Species 3\train\001_Bungarus_caeruleus\Ckrait24.jpg,data\raw\bangladeshi_venomous_snakes\train\common_krait\Ckrait24.jpg,Bungarus caeruleus,Common krait,Venomous,Bangladesh,Asia,Mendeley Data,10.17632/28r5f3vmrp.2,CC BY 4.0
