class_id,scientific_name,common_name,venom_status,poisonous,genus,family,snake_sub_family,countries,continents,known_country_count,train_count,test_count,total_data2_count,data1_sample_count,region_metadata_available,source_note
18,Agkistrodon contortrix,Copperhead,Venomous,1,Agkistrodon,Viperidae,Agkistrodon contortrix,United States of America | unknown,North America | unknown,1,180,27,207,180,yes,DATA_1 metadata + DATA_2 train/test metadata
20,Agkistrodon piscivorus,Cottonmouth,Venomous,1,Agkistrodon,Viperidae,Agkistrodon piscivorus,United States of America | unknown,North America | unknown,1,200,15,215,200,yes,DATA_1 metadata + DATA_2 train/test metadata
25,Ahaetulla nasuta,Green vine snake,Non Venomous,0,Ahaetulla,Colubridae,Ahaetulla nasuta,Bangladesh | Burma | Cambodia | India | Malaysia | Sri Lanka | Thailand | Vietnam | unknown,Asia | unknown,8,199,29,228,199,yes,DATA_1 metadata + DATA_2 train/test metadata
26,Ahaetulla prasina,Asian vine snake,Non Venomous,0,Ahaetulla,Colubridae,Ahaetulla prasina,Burma | Cambodia | Indonesia | Laos | Malaysia | Singapore | Sri Lanka | Thailand | Vietnam | unknown,Asia | unknown,9,200,25,225,200,yes,DATA_1 metadata + DATA_2 train/test metadata
39,Arizona elegans,Glossy snake,Non Venomous,0,Arizona,Colubridae,Arizona elegans,Mexico | United States of America | unknown,North America | unknown,2,181,22,203,181,yes,DATA_1 metadata + DATA_2 train/test metadata
41,Aspidites melanocephalus,Black-headed python,Non Venomous,0,Aspidites,Pythonidae,Aspidites melanocephalus,Australia | France | United Kingdom | unknown,Australia | Europe | Oceania | unknown,3,154,21,175,154,yes,DATA_1 metadata + DATA_2 train/test metadata
48,Atractus crassicaudatus,Thick-tailed ground snake,Non Venomous,0,Atractus,Colubridae,Atractus crassicaudatus,Colombia | unknown,South America | unknown,1,187,27,214,187,yes,DATA_1 metadata + DATA_2 train/test metadata
52,Austrelaps superbus,Lowland copperhead,Venomous,1,Austrelaps,Elapidae,Austrelaps superbus,Australia | unknown,Australia | Oceania | unknown,1,201,22,223,201,yes,DATA_1 metadata + DATA_2 train/test metadata
54,Bitis arietans,Puff adder,Venomous,1,Bitis,Viperidae,Bitis arietans,Angola | Benin | Botswana | Burundi | Ivory Coast | Kenya | Mali | Morocco | Mozambique | Namibia | Nigeria | Oman | Rwanda | Saudi Arabia | South Africa | South Sudan | Spain | Sudan | Swaziland | Tanzania | United Kingdom | United States of America | Zambia | Zimbabwe | unknown,Africa | Asia | Europe | North America | unknown,24,183,25,208,183,yes,DATA_1 metadata + DATA_2 train/test metadata
57,Bitis gabonica,Gaboon viper,Venomous,1,Bitis,Viperidae,Bitis gabonica,Angola | Burundi | Canada | Gabon | Germany | Malaysia | Mexico | South Africa | South Sudan | Spain | Sweden | Switzerland | Tanzania | Uganda | United Kingdom | United States of America | Zambia | unknown,Africa | Asia | Europe | North America | unknown,17,186,26,212,186,yes,DATA_1 metadata + DATA_2 train/test metadata
60,Boa constrictor,Boa constrictor,Non Venomous,0,Boa,Boidae,Boa constrictor,Bolivia | Brazil | Colombia | Ecuador | Germany | Guatemala | Mexico | Peru | Puerto Rico | Spain | Suriname | Trinidad and Tobago | United States of America | Venezuela | unknown,Europe | North America | South America | unknown,14,121,13,134,121,yes,DATA_1 metadata + DATA_2 train/test metadata
65,Bogertophis subocularis,Trans-Pecos rat snake,Non Venomous,0,Bogertophis,Colubridae,Bogertophis subocularis,Mexico | United States of America | unknown,North America | South America | unknown,2,197,26,223,197,yes,DATA_1 metadata + DATA_2 train/test metadata
71,Boiga irregularis,Brown tree snake,Venomous,1,Boiga,Colubridae,Boiga irregularis,Australia | Guam | Indonesia | Papua New Guinea | unknown,Asia | Australia | Oceania | unknown,4,196,24,220,196,yes,DATA_1 metadata + DATA_2 train/test metadata
73,Boiga kraepelini,Keeled rat snake,Non Venomous,0,Boiga,Colubridae,Boiga kraepelini,China | Taiwan | unknown,Asia | unknown,2,201,22,223,201,yes,DATA_1 metadata + DATA_2 train/test metadata
83,Bothriechis schlegelii,Eyelash palm pitviper,Venomous,1,Bothriechis,Viperidae,Bothriechis schlegelii,Australia | Colombia | Costa Rica | Ecuador | Mexico | Panama | United Kingdom | unknown,Australia | Europe | North America | South America | unknown,7,208,24,232,208,yes,DATA_1 metadata + DATA_2 train/test metadata
87,Bothrops asper,Fer-de-lance,Venomous,1,Bothrops,Viperidae,Bothrops asper,Belize | Colombia | Costa Rica | Ecuador | Guatemala | Honduras | Mexico | Panama | unknown,North America | South America | unknown,8,202,23,225,202,yes,DATA_1 metadata + DATA_2 train/test metadata
88,Bothrops atrox,Common lancehead,Venomous,1,Bothrops,Viperidae,Bothrops atrox,Bolivia | Brazil | Colombia | Ecuador | French Guiana | Guyana | Peru | Suriname | Trinidad and Tobago | Venezuela | unknown,South America | unknown,10,184,30,214,184,yes,DATA_1 metadata + DATA_2 train/test metadata
