split,class_folder,class_id,scientific_name,common_name,venom_status,country,continent,uuid,source_member,destination_path
train,020_Agkistrodon_piscivorus,20,Agkistrodon piscivorus,Cottonmouth,Venomous,United States of America,North America,9d9f4d8fb8a348a2b06292d23ac65343,train/20/9d9f4d8fb8a348a2b06292d23ac65343.jpg,data\active\Snake Species Pilot 20\train\020_Agkistrodon_piscivorus\9d9f4d8fb8a348a2b06292d23ac65343.jpg
train,020_Agkistrodon_piscivorus,20,Agkistrodon piscivorus,Cottonmouth,Venomous,United States of America,North America,32d361e40e4b42118ce91b14126eef68,train/20/32d361e40e4b42118ce91b14126eef68.jpg,data\active\Snake Species Pilot 20\train\020_Agkistrodon_piscivorus\32d361e40e4b42118ce91b14126eef68.jpg
train,020_Agkistrodon_piscivorus,20,Agkistrodon piscivorus,Cottonmouth,Venomous,United States of America,North America,2461d80b77d6451ca238e12952c2335a,train/20/2461d80b77d6451ca238e12952c2335a.jpg,data\active\Snake Species Pilot 20\train\020_Agkistrodon_piscivorus\2461d80b77d6451ca238e12952c2335a.jpg
train,020_Agkistrodon_piscivorus,20,Agkistrodon piscivorus,Cottonmouth,Venomous,United States of America,North America,24a61a43e796484ea6f2f138af9d1588,train/20/24a61a43e796484ea6f2f138af9d1588.jpg,data\active\Snake Species Pilot 20\train\020_Agkistrodon_piscivorus\24a61a43e796484ea6f2f138af9d1588.jpg
train,020_Agkistrodon_piscivorus,20,Agkistrodon piscivorus,Cottonmouth,Venomous,United States of America,North America,4b9c275b966a455db9c0fc72fc260213,train/20/4b9c275b966a455db9c0fc72fc260213.jpg,data\active\Snake Species Pilot 20\train\020_Agkistrodon_piscivorus\4b9c275b966a455db9c0fc72fc260213.jpg
train,020_Agkistrodon_piscivorus,20,Agkistrodon piscivorus,Cottonmouth,Venomous,United States of America,North America,acbce3440d184ad593c800e2d8981a41,train/20/acbce3440d184ad593c800e2d8981a41.jpg,data\active\Snake Species Pilot 20\train\020_Agkistrodon_piscivorus\acbce3440d184ad593c800e2d8981a41.jpg
train,020_Agkistrodon_piscivorus,20,Agkistrodon piscivorus,Cottonmouth,Venomous,United States of America,North America,78e56976041741dba918921503193320,train/20/78e56976041741dba918921503193320.jpg,data\active\Snake Species Pilot 20\train\020_Agkistrodon_piscivorus\78e56976041741dba918921503193320.jpg
train,020_Agkistrodon_piscivorus,20,Agkistrodon piscivorus,Cottonmouth,Venomous,United States of America,North America,0b95843a7f2548a59aa0cefb78e94499,train/20/0b95843a7f2548a59aa0cefb78e94499.jpg,data\active\Snake Species Pilot 20\train\020_Agkistrodon_piscivorus\0b95843a7f2548a59aa0cefb78e94499.jpg
train,020_Agkistrodon_piscivorus,20,Agkistrodon piscivorus,Cottonmouth,Venomous,unknown,unknown,064e96afad9b419a8d3df392856c747e,train/20/064e96afad9b419a8d3df392856c747e.jpg,data\active\Snake Species Pilot 20\train\020_Agkistrodon_piscivorus\064e96afad9b419a8d3df392856c747e.jpg
train,020_Agkistrodon_piscivorus,20,Agkistrodon piscivorus,Cottonmouth,Venomous,United States of America,North America,a750406940494208bc452d8c4cc43500,train/20/a750406940494208bc452d8c4cc43500.jpg,data\active\Snake Species Pilot 20\train\020_Agkistrodon_piscivorus\a750406940494208bc452d8c4cc43500.jpg
