class_folder,class_id,scientific_name,common_name,venom_status,countries,continents,train_count_source,test_count_source
018_Agkistrodon_contortrix,18,Agkistrodon contortrix,Copperhead,Venomous,United States of America | unknown,North America | unknown,336,27
020_Agkistrodon_piscivorus,20,Agkistrodon piscivorus,Cottonmouth,Venomous,United States of America | unknown,North America | unknown,300,15
025_Ahaetulla_nasuta,25,Ahaetulla nasuta,Green vine snake,Non Venomous,Bangladesh | Burma | Cambodia | India | Malaysia | Sri Lanka | Thailand | Vietnam | unknown,Asia | unknown,227,29
026_Ahaetulla_prasina,26,Ahaetulla prasina,Asian vine snake,Non Venomous,Burma | Cambodia | Indonesia | Laos | Malaysia | Singapore | Sri Lanka | Thailand | Vietnam | unknown,Asia | unknown,300,25
048_Atractus_crassicaudatus,48,Atractus crassicaudatus,Thick-tailed ground snake,Non Venomous,Colombia | unknown,South America | unknown,282,27
052_Austrelaps_superbus,52,Austrelaps superbus,Lowland copperhead,Venomous,Australia | unknown,Australia | Oceania | unknown,300,22
054_Bitis_arietans,54,Bitis arietans,Puff adder,Venomous,Angola | Benin | Botswana | Burundi | Ivory Coast | Kenya | Mali | Morocco | Mozambique | Namibia | Nigeria | Oman | Rwanda | Saudi Arabia | South Africa | South Sudan | Spain | Sudan | Swaziland | Tanzania | United Kingdom | United States of America | Zambia | Zimbabwe | unknown,Africa | Asia | Europe | North America | unknown,300,25
057_Bitis_gabonica,57,Bitis gabonica,Gaboon viper,Venomous,Angola | Burundi | Canada | Gabon | Germany | Malaysia | Mexico | South Africa | South Sudan | Spain | Sweden | Switzerland | Tanzania | Uganda | United Kingdom | United States of America | Zambia | unknown,Africa | Asia | Europe | North America | unknown,191,26
065_Bogertophis_subocularis,65,Bogertophis subocularis,Trans-Pecos rat snake,Non Venomous,Mexico | United States of America | unknown,North America | South America | unknown,207,26
071_Boiga_irregularis,71,Boiga irregularis,Brown tree snake,Venomous,Australia | Guam | Indonesia | Papua New Guinea | unknown,Asia | Australia | Oceania | unknown,300,24
073_Boiga_kraepelini,73,Boiga kraepelini,Keeled rat snake,Non Venomous,China | Taiwan | unknown,Asia | unknown,247,22
083_Bothriechis_schlegelii,83,Bothriechis schlegelii,Eyelash palm pitviper,Venomous,Australia | Colombia | Costa Rica | Ecuador | Mexico | Panama | United Kingdom | unknown,Australia | Europe | North America | South America | unknown,221,24
087_Bothrops_asper,87,Bothrops asper,Fer-de-lance,Venomous,Belize | Colombia | Costa Rica | Ecuador | Guatemala | Honduras | Mexico | Panama | unknown,North America | South America | unknown,311,23
088_Bothrops_atrox,88,Bothrops atrox,Common lancehead,Venomous,Bolivia | Brazil | Colombia | Ecuador | French Guiana | Guyana | Peru | Suriname | Trinidad and Tobago | Venezuela | unknown,South America | unknown,300,30
111_Carphophis_vermis,111,Carphophis vermis,Western worm snake,Non Venomous,United States of America | unknown,North America | unknown,224,26
113_Causus_rhombeatus,113,Causus rhombeatus,Rhombic night adder,Venomous,Botswana | Democratic Republic of the Congo | Ethiopia | Kenya | South Africa | Zambia | Zimbabwe | unknown,Africa | unknown,244,25
114_Cemophora_coccinea,114,Cemophora coccinea,Scarlet snake,Non Venomous,United States of America | unknown,North America | unknown,224,26
122_Charina_bottae,122,Charina bottae,Rubber boa,Non Venomous,Canada | United States of America | unknown,North America | unknown,300,22
155_Contia_tenuis,155,Contia tenuis,Sharp-tailed snake,Non Venomous,Canada | United States of America | unknown,North America | unknown,300,22
158_Corallus_caninus,158,Corallus caninus,Emerald tree boa,Non Venomous,Australia | Brazil | Canada | Colombia | France | French Guiana | Germany | Guyana | Netherlands | Peru | Singapore | Suriname | United Kingdom | United States of America | unknown,Asia | Australia | Europe | North America | South America | unknown,194,31
159_Corallus_hortulanus,159,Corallus hortulanus,Amazon tree boa,Non Venomous,Bolivia | Brazil | Colombia | Costa Rica | Ecuador | French Guiana | Guyana | Hungary | Peru | Suriname | unknown,Europe | North America | South America | unknown,300,27
168_Crotalus_cerastes,168,Crotalus cerastes,Sidewinder,Venomous,Mexico | United States of America | unknown,North America | South America | unknown,300,18
175_Crotalus_lepidus,175,Crotalus lepidus,Rock rattlesnake,Venomous,Mexico | United States of America | unknown,North America | South America | unknown,205,26
