"class_id","scientific_name","common_name","venom_status","poisonous","genus","family","snake_sub_family","countries","continents","known_country_count","train_count","test_count","total_data2_count","data1_sample_count","region_metadata_available","source_note"
"83","Bothriechis schlegelii","Eyelash palm pitviper","Venomous","1","Bothriechis","Viperidae","Bothriechis schlegelii","Australia | Colombia | Costa Rica | Ecuador | Mexico | Panama | United Kingdom | unknown","Australia | Europe | North America | South America | unknown","7","208","24","232","208","yes","DATA_1 metadata + DATA_2 train/test metadata"
"25","Ahaetulla nasuta","Green vine snake","Non Venomous","0","Ahaetulla","Colubridae","Ahaetulla nasuta","Bangladesh | Burma | Cambodia | India | Malaysia | Sri Lanka | Thailand | Vietnam | unknown","Asia | unknown","8","199","29","228","199","yes","DATA_1 metadata + DATA_2 train/test metadata"
"26","Ahaetulla prasina","Asian vine snake","Non Venomous","0","Ahaetulla","Colubridae","Ahaetulla prasina","Burma | Cambodia | Indonesia | Laos | Malaysia | Singapore | Sri Lanka | Thailand | Vietnam | unknown","Asia | unknown","9","200","25","225","200","yes","DATA_1 metadata + DATA_2 train/test metadata"
"87","Bothrops asper","Fer-de-lance","Venomous","1","Bothrops","Viperidae","Bothrops asper","Belize | Colombia | Costa Rica | Ecuador | Guatemala | Honduras | Mexico | Panama | unknown","North America | South America | unknown","8","202","23","225","202","yes","DATA_1 metadata + DATA_2 train/test metadata"
"338","Imantodes cenchoa","Blunthead tree snake","Non Venomous","0","Imantodes","Colubridae","Imantodes cenchoa","Belize | Bolivia | Brazil | Colombia | Costa Rica | Ecuador | French Guiana | Guatemala | Guyana | Honduras | Mexico | Nicaragua | Panama | Peru | Trinidad and Tobago | Venezuela | unknown","North America | South America | unknown","16","200","25","225","200","yes","DATA_1 metadata + DATA_2 train/test metadata"
"189","Crotalus tigris","Tiger rattlesnake","Venomous","1","Crotalus","Viperidae","Crotalus tigris","Mexico | United States of America | unknown","North America | South America | unknown","2","198","26","224","198","yes","DATA_1 metadata + DATA_2 train/test metadata"
"52","Austrelaps superbus","Lowland copperhead","Venomous","1","Austrelaps","Elapidae","Austrelaps superbus","Australia | unknown","Australia | Oceania | unknown","1","201","22","223","201","yes","DATA_1 metadata + DATA_2 train/test metadata"
"65","Bogertophis subocularis","Trans-Pecos rat snake","Non Venomous","0","Bogertophis","Colubridae","Bogertophis subocularis","Mexico | United States of America | unknown","North America | South America | unknown","2","197","26","223","197","yes","DATA_1 metadata + DATA_2 train/test metadata"
"73","Boiga kraepelini","Keeled rat snake","Non Venomous","0","Boiga","Colubridae","Boiga kraepelini","China | Taiwan | unknown","Asia | unknown","2","201","22","223","201","yes","DATA_1 metadata + DATA_2 train/test metadata"
"111","Carphophis vermis","Western worm snake","Non Venomous","0","Carphophis","Colubridae","Carphophis vermis","United States of America | unknown","North America | unknown","1","197","26","223","197","yes","DATA_1 metadata + DATA_2 train/test metadata"
"672","Tantilla coronata","unknown","Non Venomous","0","Tantilla","Colubridae","Tantilla coronata","United States of America | unknown","North America | unknown","1","197","26","223","197","yes","DATA_1 metadata + DATA_2 train/test metadata"
"158","Corallus caninus","Emerald tree boa","Non Venomous","0","Corallus","Boidae","Corallus caninus","Australia | Brazil | Canada | Colombia | France | French Guiana | Germany | Guyana | Netherlands | Peru | Singapore | Suriname | United Kingdom | United States of America | unknown","Asia | Australia | Europe | North America | South America | unknown","14","190","31","221","190","yes","DATA_1 metadata + DATA_2 train/test metadata"
"71","Boiga irregularis","Brown tree snake","Venomous","1","Boiga","Colubridae","Boiga irregularis","Australia | Guam | Indonesia | Papua New Guinea | unknown","Asia | Australia | Oceania | unknown","4","196","24","220","196","yes","DATA_1 metadata + DATA_2 train/test metadata"
"113","Causus rhombeatus","Rhombic night adder","Venomous","1","Causus","Viperidae","Causus rhombeatus","Botswana | Democratic Republic of the Congo | Ethiopia | Kenya | South Africa | Zambia | Zimbabwe | unknown","Africa | unknown","7","193","25","218","193","yes","DATA_1 metadata + DATA_2 train/test metadata"
"741","Tropidolaemus wagleri","unknown","Venomous","1","Tropidolaemus","Viperidae","Tropidolaemus wagleri","Indonesia | Malaysia | Philippines | Singapore | Thailand | unknown","Asia | unknown","5","191","27","218","191","yes","DATA_1 metadata + DATA_2 train/test metadata"
"674","Tantilla gracilis","unknown","Non Venomous","0","Tantilla","Colubridae","Tantilla gracilis","Mexico | United States of America | unknown","North America | unknown","2","193","23","216","193","yes","DATA_1 metadata + DATA_2 train/test metadata"
"20","Agkistrodon piscivorus","Cottonmouth","Venomous","1","Agkistrodon","Viperidae","Agkistrodon piscivorus","United States of America | unknown","North America | unknown","1","200","15","215","200","yes","DATA_1 metadata + DATA_2 train/test metadata"
"155","Contia tenuis","Sharp-tailed snake","Non Venomous","0","Contia","Colubridae","Contia tenuis","Canada | United States of America | unknown","North America | unknown","2","193","22","215","193","yes","DATA_1 metadata + DATA_2 train/test metadata"
"360","Lampropeltis pyromelana","Sonoran mountain kingsnake","Non Venomous","0","Lampropeltis","Colubridae","Lampropeltis pyromelana","United States of America | unknown","North America | unknown","1","190","25","215","190","yes","DATA_1 metadata + DATA_2 train/test metadata"
"48","Atractus crassicaudatus","Thick-tailed ground snake","Non Venomous","0","Atractus","Colubridae","Atractus crassicaudatus","Colombia | unknown","South America | unknown","1","187","27","214","187","yes","DATA_1 metadata + DATA_2 train/test metadata"
"88","Bothrops atrox","Common lancehead","Venomous","1","Bothrops","Viperidae","Bothrops atrox","Bolivia | Brazil | Colombia | Ecuador | French Guiana | Guyana | Peru | Suriname | Trinidad and Tobago | Venezuela | unknown","South America | unknown","10","184","30","214","184","yes","DATA_1 metadata + DATA_2 train/test metadata"
"114","Cemophora coccinea","Scarlet snake","Non Venomous","0","Cemophora","Colubridae","Cemophora coccinea","United States of America | unknown","North America | unknown","1","188","26","214","188","yes","DATA_1 metadata + DATA_2 train/test metadata"
"345","Lampropeltis alterna","Gray-banded kingsnake","Non Venomous","0","Lampropeltis","Colubridae","Lampropeltis alterna","Mexico | United States of America | unknown","North America | South America | unknown","2","190","24","214","190","yes","DATA_1 metadata + DATA_2 train/test metadata"
"364","Lampropeltis zonata","California mountain kingsnake","Non Venomous","0","Lampropeltis","Colubridae","Lampropeltis zonata","United States of America | unknown","North America | unknown","1","189","25","214","189","yes","DATA_1 metadata + DATA_2 train/test metadata"
"453","Morelia spilota","Diamond python","Non Venomous","0","Morelia","Pythonidae","Morelia spilota","Australia | France | Germany | Singapore | United Kingdom | unknown","Asia | Australia | Europe | Oceania | unknown","5","193","21","214","193","yes","DATA_1 metadata + DATA_2 train/test metadata"
"159","Corallus hortulanus","Amazon tree boa","Non Venomous","0","Corallus","Boidae","Corallus hortulanus","Bolivia | Brazil | Colombia | Costa Rica | Ecuador | French Guiana | Guyana | Hungary | Peru | Suriname | unknown","Europe | North America | South America | unknown","10","186","27","213","186","yes","DATA_1 metadata + DATA_2 train/test metadata"
"175","Crotalus lepidus","Rock rattlesnake","Venomous","1","Crotalus","Viperidae","Crotalus lepidus","Mexico | United States of America | unknown","North America | South America | unknown","2","187","26","213","187","yes","DATA_1 metadata + DATA_2 train/test metadata"
"321","Heterodon simus","Southern hog-nosed snake","Non Venomous","0","Heterodon","Colubridae","Heterodon simus","United States of America | unknown","North America | unknown","1","188","25","213","188","yes","DATA_1 metadata + DATA_2 train/test metadata"
"485","Ninia sebae","Redback coffee snake","Non Venomous","0","Ninia","Colubridae","Ninia sebae","Belize | Costa Rica | El Salvador | Guatemala | Honduras | Mexico | Nicaragua | unknown","North America | South America | unknown","7","188","25","213","188","yes","DATA_1 metadata + DATA_2 train/test metadata"
"562","Psammodynastes pulverulentus","unknown","Non Venomous","0","Psammodynastes","Lamprophiidae","Psammodynastes pulverulentus","Bangladesh | Bhutan | China | Hong Kong | Hong Kong S.A.R. | India | Indonesia | Laos | Malaysia | Philippines | Taiwan | Thailand | Vietnam | unknown","Asia | unknown","13","188","25","213","188","yes","DATA_1 metadata + DATA_2 train/test metadata"
"57","Bitis gabonica","Gaboon viper","Venomous","1","Bitis","Viperidae","Bitis gabonica","Angola | Burundi | Canada | Gabon | Germany | Malaysia | Mexico | South Africa | South Sudan | Spain | Sweden | Switzerland | Tanzania | Uganda | United Kingdom | United States of America | Zambia | unknown","Africa | Asia | Europe | North America | unknown","17","186","26","212","186","yes","DATA_1 metadata + DATA_2 train/test metadata"
"122","Charina bottae","Rubber boa","Non Venomous","0","Charina","Boidae","Charina bottae","Canada | United States of America | unknown","North America | unknown","2","190","22","212","190","yes","DATA_1 metadata + DATA_2 train/test metadata"
"470","Natrix maura","Viperine water snake","Non Venomous","0","Natrix","Colubridae","Natrix maura","Algeria | France | Italy | Morocco | Portugal | Spain | Switzerland | Tunisia | unknown","Africa | Europe | unknown","8","192","20","212","192","yes","DATA_1 metadata + DATA_2 train/test metadata"
